,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
206,851224888060895234,20812,5764,8309127,142727,2017-04-10 00:06:42+00:00
207,850753642995093505,31178,9240,8309127,142727,2017-04-08 16:54:09+00:00
208,850380195714523136,13196,2641,8309128,142727,2017-04-07 16:10:12+00:00
209,850333567704068097,3483,336,8309128,142727,2017-04-07 13:04:55+00:00
210,850145622816686080,16487,3838,8309127,142727,2017-04-07 00:38:06+00:00
211,850019790995546112,20622,4921,8309127,142727,2017-04-06 16:18:05+00:00
212,849776966551130114,30815,7678,8309127,142727,2017-04-06 00:13:11+00:00
213,849668094696017920,0,5013,8308457,142726,2017-04-05 17:00:34+00:00
214,849412302885593088,16051,3185,8309127,142727,2017-04-05 00:04:08+00:00
215,849336543269576704,11530,1929,8309127,142727,2017-04-04 19:03:06+00:00
216,849051919805034497,42867,8593,8309127,142727,2017-04-04 00:12:06+00:00
217,848690551926992896,25486,4380,8309127,142727,2017-04-03 00:16:10+00:00
218,848324959059550208,25066,4655,8309127,142727,2017-04-02 00:03:26+00:00
219,848213670039564288,8290,746,8309127,142727,2017-04-01 16:41:12+00:00
220,848212111729840128,16541,3094,8309127,142727,2017-04-01 16:35:01+00:00
221,847978865427394560,0,3303,8309128,142727,2017-04-01 01:08:10+00:00
222,847971574464610304,0,436,8309128,142727,2017-04-01 00:39:12+00:00
223,847962785489326080,23845,5169,8309128,142727,2017-04-01 00:04:17+00:00
224,847842811428974592,5530,1349,8309128,142727,2017-03-31 16:07:33+00:00
225,847617282490613760,7087,424,8309128,142727,2017-03-31 01:11:22+00:00
226,847606175596138505,19037,3467,8309128,142727,2017-03-31 00:27:14+00:00
227,847251039262605312,20777,4350,8309128,142727,2017-03-30 00:56:03+00:00
228,847157206088847362,20225,5960,8309128,142727,2017-03-29 18:43:12+00:00
229,847116187444137987,21755,3242,8309129,142727,2017-03-29 16:00:12+00:00
230,846874817362120707,20390,3979,8309129,142727,2017-03-29 00:01:05+00:00
231,846514051647705089,45321,11781,8309129,142727,2017-03-28 00:07:32+00:00
232,846505985330044928,14330,3125,8309129,142727,2017-03-27 23:35:28+00:00
233,846153765933735936,32198,9219,8309129,142727,2017-03-27 00:15:53+00:00
234,846139713627017216,31449,10131,8309129,142727,2017-03-26 23:20:02+00:00
235,846042936437604353,16266,2927,8309129,142727,2017-03-26 16:55:29+00:00
236,845812042753855489,29763,8871,8309129,142727,2017-03-26 01:38:00+00:00
